LoopID : 1; InstanceID : 0; LoopCount : 22; NbInsns : 40

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402e4b; MOVSD 0x38(%R15,%RDI,1),%XMM7                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e5a; MOVSD 0x20(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e65; ADDSD 0x30(%R15,%RBP,1),%XMM5                     ;	load;	l;	0x402e65;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402e6c; MOVSD 0x48(%R15,%RDI,1),%XMM9                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e7c; ADDSD 0x30(%R15,%RBX,1),%XMM5                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e83; ADDSD 0x40(%R15,%RBP,1),%XMM7                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e8e; ADDSD 0x40(%R15,%RBX,1),%XMM7                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e95; MOVSD %XMM2,0x18(%R12,%R8,1)                      ;	store;	f;	0x402fa7;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402e9c; MOVSD 0x58(%R15,%RDI,1),%XMM11                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ea3; MOVSD 0x68(%R15,%RDI,1),%XMM13                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402eb8; ADDSD 0x50(%R15,%RBP,1),%XMM9                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ebf; ADDSD 0x60(%R15,%RBP,1),%XMM11                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ec6; ADDSD 0x50(%R15,%RBX,1),%XMM9                     ;	load;	f;	0x402eb8;	14;	0;	8;	8;	0;	0;	0;	0;	0
0x402ecd; ADDSD 0x60(%R15,%RBX,1),%XMM11                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ede; MOVSD 0x78(%R15,%RDI,1),%XMM15                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ee5; MOVSD 0x88(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ef9; ADDSD 0x70(%R15,%RBP,1),%XMM13                    ;	load;	l;	0x402ef9;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402f00; ADDSD 0x80(%R15,%RBP,1),%XMM15                    ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f0a; ADDSD 0x70(%R15,%RBX,1),%XMM13                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f11; ADDSD 0x80(%R15,%RBX,1),%XMM15                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f25; MOVSD %XMM3,0x10(%R12,%R8,1)                      ;	store;	f;	0x402fa7;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402f2c; MOVSD 0x30(%R15,%RDI,1),%XMM6                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f33; MOVSD 0x40(%R15,%RDI,1),%XMM8                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f3a; MOVSD 0x50(%R15,%RDI,1),%XMM10                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f41; MOVSD 0x60(%R15,%RDI,1),%XMM12                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f48; MOVSD 0x70(%R15,%RDI,1),%XMM14                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f4f; MOVSD 0x80(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f99; MOVSD %XMM6,0x20(%R12,%R8,1)                      ;	store;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fa0; MOVSD %XMM8,0x28(%R12,%R8,1)                      ;	store;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fa7; MOVSD %XMM10,0x30(%R12,%R8,1)                     ;	store;	l;	0x402fa7;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402fae; MOVSD %XMM12,0x38(%R12,%R8,1)                     ;	store;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fb5; MOVSD %XMM14,0x40(%R12,%R8,1)                     ;	store;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fbc; MOVSD %XMM3,0x48(%R12,%R8,1)                      ;	store;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	794.000;	0.000;	86.000;	19.000;	67.000;	0.000;	0.000;	67.000;	0.000
Sum(Column) / LoopCount:	19.850;	0.000;	2.150;	0.475;	1.675;	0.000;	0.000;	1.675;	0.000

LoopID : 1; InstanceID : 16; LoopCount : 22; NbInsns : 40

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402e03; MOVSD 0x18(%R15,%RDI,1),%XMM4                     ;	load;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e0d; MOVSD 0x28(%R15,%RDI,1),%XMM5                     ;	load;	f;	0x402e1c;	16;	0;	6;	6;	0;	0;	0;	0;	0
0x402e1c; ADDSD 0x10(%R15,%RBP,1),%XMM2                     ;	load;	l;	0x402e1c;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402e23; ADDSD 0x20(%R15,%RBP,1),%XMM4                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2a; ADDSD 0x10(%R15,%RBX,1),%XMM2                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e31; ADDSD 0x20(%R15,%RBX,1),%XMM4                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e40; MOVSD 0x10(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e4b; MOVSD 0x38(%R15,%RDI,1),%XMM7                     ;	load;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e5a; MOVSD 0x20(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e65; ADDSD 0x30(%R15,%RBP,1),%XMM5                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e6c; MOVSD 0x48(%R15,%RDI,1),%XMM9                     ;	load;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e7c; ADDSD 0x30(%R15,%RBX,1),%XMM5                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e83; ADDSD 0x40(%R15,%RBP,1),%XMM7                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e8e; ADDSD 0x40(%R15,%RBX,1),%XMM7                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e95; MOVSD %XMM2,0x18(%R12,%R8,1)                      ;	store;	f;	0x402f99;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402e9c; MOVSD 0x58(%R15,%RDI,1),%XMM11                    ;	load;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ea3; MOVSD 0x68(%R15,%RDI,1),%XMM13                    ;	load;	f;	0x402eb8;	15;	0;	7;	7;	0;	0;	0;	0;	0
0x402eb8; ADDSD 0x50(%R15,%RBP,1),%XMM9                     ;	load;	l;	0x402eb8;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402ebf; ADDSD 0x60(%R15,%RBP,1),%XMM11                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ec6; ADDSD 0x50(%R15,%RBX,1),%XMM9                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ecd; ADDSD 0x60(%R15,%RBX,1),%XMM11                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ede; MOVSD 0x78(%R15,%RDI,1),%XMM15                    ;	load;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ee5; MOVSD 0x88(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ef9; ADDSD 0x70(%R15,%RBP,1),%XMM13                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f00; ADDSD 0x80(%R15,%RBP,1),%XMM15                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f0a; ADDSD 0x70(%R15,%RBX,1),%XMM13                    ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f11; ADDSD 0x80(%R15,%RBX,1),%XMM15                    ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f25; MOVSD %XMM3,0x10(%R12,%R8,1)                      ;	store;	f;	0x402f99;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402f2c; MOVSD 0x30(%R15,%RDI,1),%XMM6                     ;	load;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f33; MOVSD 0x40(%R15,%RDI,1),%XMM8                     ;	load;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f3a; MOVSD 0x50(%R15,%RDI,1),%XMM10                    ;	load;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f41; MOVSD 0x60(%R15,%RDI,1),%XMM12                    ;	load;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f48; MOVSD 0x70(%R15,%RDI,1),%XMM14                    ;	load;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f4f; MOVSD 0x80(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f99; MOVSD %XMM6,0x20(%R12,%R8,1)                      ;	store;	l;	0x402f99;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402fa0; MOVSD %XMM8,0x28(%R12,%R8,1)                      ;	store;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fa7; MOVSD %XMM10,0x30(%R12,%R8,1)                     ;	store;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fae; MOVSD %XMM12,0x38(%R12,%R8,1)                     ;	store;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fb5; MOVSD %XMM14,0x40(%R12,%R8,1)                     ;	store;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fbc; MOVSD %XMM3,0x48(%R12,%R8,1)                      ;	store;	f;	0x402f99;	22;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	799.000;	0.000;	81.000;	15.000;	66.000;	0.000;	0.000;	66.000;	0.000
Sum(Column) / LoopCount:	19.975;	0.000;	2.025;	0.375;	1.650;	0.000;	0.000;	1.650;	0.000

LoopID : 1; InstanceID : 17; LoopCount : 22; NbInsns : 40

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402e03; MOVSD 0x18(%R15,%RDI,1),%XMM4                     ;	load;	f;	0x402ef9;	20;	0;	2;	2;	0;	0;	0;	0;	0
0x402e0d; MOVSD 0x28(%R15,%RDI,1),%XMM5                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1c; ADDSD 0x10(%R15,%RBP,1),%XMM2                     ;	load;	f;	0x402ef9;	21;	0;	1;	0;	1;	0;	0;	1;	0
0x402e23; ADDSD 0x20(%R15,%RBP,1),%XMM4                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2a; ADDSD 0x10(%R15,%RBX,1),%XMM2                     ;	load;	f;	0x402e1c;	17;	0;	5;	5;	0;	0;	0;	0;	0
0x402e31; ADDSD 0x20(%R15,%RBX,1),%XMM4                     ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e40; MOVSD 0x10(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e4b; MOVSD 0x38(%R15,%RDI,1),%XMM7                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e5a; MOVSD 0x20(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e65; ADDSD 0x30(%R15,%RBP,1),%XMM5                     ;	load;	l;	0x402e65;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402e6c; MOVSD 0x48(%R15,%RDI,1),%XMM9                     ;	load;	f;	0x402e65;	17;	0;	5;	5;	0;	0;	0;	0;	0
0x402e7c; ADDSD 0x30(%R15,%RBX,1),%XMM5                     ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e83; ADDSD 0x40(%R15,%RBP,1),%XMM7                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e8e; ADDSD 0x40(%R15,%RBX,1),%XMM7                     ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e95; MOVSD %XMM2,0x18(%R12,%R8,1)                      ;	store;	l;	0x402e95;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402e9c; MOVSD 0x58(%R15,%RDI,1),%XMM11                    ;	load;	f;	0x402e65;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402ea3; MOVSD 0x68(%R15,%RDI,1),%XMM13                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402eb8; ADDSD 0x50(%R15,%RBP,1),%XMM9                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ebf; ADDSD 0x60(%R15,%RBP,1),%XMM11                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ec6; ADDSD 0x50(%R15,%RBX,1),%XMM9                     ;	load;	f;	0x402eb8;	16;	0;	6;	6;	0;	0;	0;	0;	0
0x402ecd; ADDSD 0x60(%R15,%RBX,1),%XMM11                    ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ede; MOVSD 0x78(%R15,%RDI,1),%XMM15                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ee5; MOVSD 0x88(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402ef9;	17;	0;	5;	5;	0;	0;	0;	0;	0
0x402ef9; ADDSD 0x70(%R15,%RBP,1),%XMM13                    ;	load;	l;	0x402ef9;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402f00; ADDSD 0x80(%R15,%RBP,1),%XMM15                    ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f0a; ADDSD 0x70(%R15,%RBX,1),%XMM13                    ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f11; ADDSD 0x80(%R15,%RBX,1),%XMM15                    ;	load;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f25; MOVSD %XMM3,0x10(%R12,%R8,1)                      ;	store;	f;	0x402e95;	20;	0;	2;	2;	0;	0;	0;	0;	0
0x402f2c; MOVSD 0x30(%R15,%RDI,1),%XMM6                     ;	load;	f;	0x402ef9;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402f33; MOVSD 0x40(%R15,%RDI,1),%XMM8                     ;	load;	f;	0x402e65;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402f3a; MOVSD 0x50(%R15,%RDI,1),%XMM10                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f41; MOVSD 0x60(%R15,%RDI,1),%XMM12                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f48; MOVSD 0x70(%R15,%RDI,1),%XMM14                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f4f; MOVSD 0x80(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402ef9;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402f99; MOVSD %XMM6,0x20(%R12,%R8,1)                      ;	store;	f;	0x402e95;	19;	0;	3;	3;	0;	0;	0;	0;	0
0x402fa0; MOVSD %XMM8,0x28(%R12,%R8,1)                      ;	store;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fa7; MOVSD %XMM10,0x30(%R12,%R8,1)                     ;	store;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fae; MOVSD %XMM12,0x38(%R12,%R8,1)                     ;	store;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fb5; MOVSD %XMM14,0x40(%R12,%R8,1)                     ;	store;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fbc; MOVSD %XMM3,0x48(%R12,%R8,1)                      ;	store;	f;	0x402e95;	22;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	781.000;	0.000;	99.000;	32.000;	67.000;	0.000;	0.000;	67.000;	0.000
Sum(Column) / LoopCount:	19.525;	0.000;	2.475;	0.800;	1.675;	0.000;	0.000;	1.675;	0.000

LoopID : 1; InstanceID : 18; LoopCount : 22; NbInsns : 40

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402e03; MOVSD 0x18(%R15,%RDI,1),%XMM4                     ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e0d; MOVSD 0x28(%R15,%RDI,1),%XMM5                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1c; ADDSD 0x10(%R15,%RBP,1),%XMM2                     ;	load;	l;	0x402e1c;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402e23; ADDSD 0x20(%R15,%RBP,1),%XMM4                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2a; ADDSD 0x10(%R15,%RBX,1),%XMM2                     ;	load;	f;	0x402ef9;	19;	0;	3;	3;	0;	0;	0;	0;	0
0x402e31; ADDSD 0x20(%R15,%RBX,1),%XMM4                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e40; MOVSD 0x10(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e4b; MOVSD 0x38(%R15,%RDI,1),%XMM7                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e5a; MOVSD 0x20(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e65; ADDSD 0x30(%R15,%RBP,1),%XMM5                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e6c; MOVSD 0x48(%R15,%RDI,1),%XMM9                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e7c; ADDSD 0x30(%R15,%RBX,1),%XMM5                     ;	load;	f;	0x402e65;	16;	0;	6;	6;	0;	0;	0;	0;	0
0x402e83; ADDSD 0x40(%R15,%RBP,1),%XMM7                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e8e; ADDSD 0x40(%R15,%RBX,1),%XMM7                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e95; MOVSD %XMM2,0x18(%R12,%R8,1)                      ;	store;	f;	0x402fb5;	19;	0;	3;	2;	1;	0;	0;	1;	0
0x402e9c; MOVSD 0x58(%R15,%RDI,1),%XMM11                    ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ea3; MOVSD 0x68(%R15,%RDI,1),%XMM13                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402eb8; ADDSD 0x50(%R15,%RBP,1),%XMM9                     ;	load;	l;	0x402eb8;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402ebf; ADDSD 0x60(%R15,%RBP,1),%XMM11                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ec6; ADDSD 0x50(%R15,%RBX,1),%XMM9                     ;	load;	f;	0x402e65;	21;	0;	1;	1;	0;	0;	0;	0;	0
0x402ecd; ADDSD 0x60(%R15,%RBX,1),%XMM11                    ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ede; MOVSD 0x78(%R15,%RDI,1),%XMM15                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ee5; MOVSD 0x88(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402ef9; ADDSD 0x70(%R15,%RBP,1),%XMM13                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f00; ADDSD 0x80(%R15,%RBP,1),%XMM15                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f0a; ADDSD 0x70(%R15,%RBX,1),%XMM13                    ;	load;	f;	0x402ef9;	17;	0;	5;	5;	0;	0;	0;	0;	0
0x402f11; ADDSD 0x80(%R15,%RBX,1),%XMM15                    ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f25; MOVSD %XMM3,0x10(%R12,%R8,1)                      ;	store;	f;	0x402fb5;	20;	0;	2;	2;	0;	0;	0;	0;	0
0x402f2c; MOVSD 0x30(%R15,%RDI,1),%XMM6                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f33; MOVSD 0x40(%R15,%RDI,1),%XMM8                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f3a; MOVSD 0x50(%R15,%RDI,1),%XMM10                    ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f41; MOVSD 0x60(%R15,%RDI,1),%XMM12                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f48; MOVSD 0x70(%R15,%RDI,1),%XMM14                    ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f4f; MOVSD 0x80(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402eb8;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402f99; MOVSD %XMM6,0x20(%R12,%R8,1)                      ;	store;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fa0; MOVSD %XMM8,0x28(%R12,%R8,1)                      ;	store;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fa7; MOVSD %XMM10,0x30(%R12,%R8,1)                     ;	store;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fae; MOVSD %XMM12,0x38(%R12,%R8,1)                     ;	store;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402fb5; MOVSD %XMM14,0x40(%R12,%R8,1)                     ;	store;	l;	0x402fb5;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402fbc; MOVSD %XMM3,0x48(%R12,%R8,1)                      ;	store;	f;	0x402fb5;	22;	0;	0;	0;	0;	0;	0;	0;	0

Sum(Column):	794.000;	0.000;	86.000;	19.000;	67.000;	0.000;	0.000;	67.000;	0.000
Sum(Column) / LoopCount:	19.850;	0.000;	2.150;	0.475;	1.675;	0.000;	0.000;	1.675;	0.000

LoopID : 1; InstanceID : 19; LoopCount : 22; NbInsns : 40

Address; Instruction                                        ;  Type; Leader/Follower; Leader address; L1_HIT; L1_COLD; L1_CONF; L2_HIT; L2_COLD; L2_CONF; L3_HIT; L3_COLD; L3_CONF;

0x402e03; MOVSD 0x18(%R15,%RDI,1),%XMM4                     ;	load;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e0d; MOVSD 0x28(%R15,%RDI,1),%XMM5                     ;	load;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e1c; ADDSD 0x10(%R15,%RBP,1),%XMM2                     ;	load;	f;	0x402ef9;	19;	0;	3;	2;	1;	0;	0;	1;	0
0x402e23; ADDSD 0x20(%R15,%RBP,1),%XMM4                     ;	load;	f;	0x402ef9;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e2a; ADDSD 0x10(%R15,%RBX,1),%XMM2                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e31; ADDSD 0x20(%R15,%RBX,1),%XMM4                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e40; MOVSD 0x10(%R15,%RDI,1),%XMM3                     ;	load;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e4b; MOVSD 0x38(%R15,%RDI,1),%XMM7                     ;	load;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e5a; MOVSD 0x20(%R15,%RDI,1),%XMM2                     ;	load;	f;	0x402fa7;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e65; ADDSD 0x30(%R15,%RBP,1),%XMM5                     ;	load;	l;	0x402e65;	0;	0;	22;	0;	22;	0;	0;	22;	0
0x402e6c; MOVSD 0x48(%R15,%RDI,1),%XMM9                     ;	load;	f;	0x402e65;	13;	0;	9;	9;	0;	0;	0;	0;	0
0x402e7c; ADDSD 0x30(%R15,%RBX,1),%XMM5                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e83; ADDSD 0x40(%R15,%RBP,1),%XMM7                     ;	load;	f;	0x402e65;	22;	0;	0;	0;	0;	0;	0;	0;	0
0x402e8e; ADDSD 0x40(%R15,%RBX,1),%XMM7                     ;	load;	f;	0x402e1c;	22;	0;	0;	0;	0;	0;	0;	0;	0
